               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.036295,           0.0085622,           0.0053178,             0.54951,             0.92694,             0.82465,             0.51344,            0.028871,           0.0045239,           0.0037442,           0.0089902,           0.0089902,           0.0089902
                  53,            0.032488,           0.0093834,           0.0062316,             0.64752,                 0.9,             0.85712,             0.62027,              0.0251,           0.0044739,           0.0036048,           0.0089704,           0.0089704,           0.0089704
                  54,            0.033745,           0.0094804,            0.005542,             0.62665,             0.91668,             0.85848,             0.64828,            0.021751,           0.0043796,           0.0036229,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032113,           0.0083785,           0.0050588,              0.5293,                0.94,             0.80481,             0.54903,            0.026455,           0.0044762,           0.0036447,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03182,           0.0099497,           0.0068598,             0.70702,                0.94,              0.8786,             0.68368,            0.019688,           0.0043061,           0.0036588,            0.008911,            0.008911,            0.008911
                  57,            0.031936,           0.0083319,           0.0053229,             0.57352,                0.89,             0.78321,             0.50599,            0.028008,           0.0042396,           0.0034284,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034821,           0.0082817,           0.0053117,             0.71413,                0.93,             0.89144,             0.64299,            0.022078,           0.0042637,           0.0036331,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030806,           0.0094812,           0.0055824,              0.6794,                0.92,             0.86251,             0.65272,            0.024869,           0.0044781,           0.0036382,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03125,           0.0086955,           0.0057777,              0.6975,             0.91485,             0.86875,             0.66591,            0.021356,           0.0044159,           0.0036076,           0.0088318,           0.0088318,           0.0088318
                  61,            0.031283,           0.0089055,           0.0057971,             0.71141,                0.94,             0.87769,             0.64782,            0.020417,           0.0043739,           0.0034876,            0.008812,            0.008812,            0.008812
                  62,            0.030647,           0.0088312,           0.0050743,             0.69445,                0.94,             0.84977,             0.60281,            0.022637,           0.0043237,           0.0033788,           0.0087922,           0.0087922,           0.0087922
                  63,            0.032819,           0.0093499,            0.005144,             0.65486,             0.95044,             0.82013,             0.56959,            0.021184,           0.0041027,           0.0033528,           0.0087724,           0.0087724,           0.0087724
                  64,            0.031832,           0.0090132,           0.0049819,              0.6388,                0.97,             0.85634,             0.62497,            0.022589,           0.0041174,           0.0032947,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030616,           0.0084256,           0.0049494,             0.79323,             0.92454,             0.90034,             0.66092,            0.024633,           0.0041144,           0.0032887,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029457,           0.0083879,           0.0050724,              0.7392,             0.94306,             0.89076,             0.69696,            0.020939,           0.0040707,           0.0033262,            0.008713,            0.008713,            0.008713
                  67,            0.028329,           0.0085792,           0.0051138,             0.67308,                0.98,             0.88802,             0.63058,            0.023977,           0.0040208,           0.0032462,           0.0086932,           0.0086932,           0.0086932
                  68,            0.032368,           0.0091177,           0.0049798,             0.70254,                0.97,              0.8823,             0.67495,            0.019146,             0.00412,           0.0032073,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028209,           0.0088981,           0.0053625,              0.7307,             0.94693,             0.88274,             0.66605,            0.021581,           0.0041231,           0.0032489,           0.0086536,           0.0086536,           0.0086536
                  70,            0.029519,           0.0084821,           0.0045164,             0.72717,             0.96976,             0.87351,             0.60645,            0.021464,           0.0043069,           0.0033358,           0.0086338,           0.0086338,           0.0086338
                  71,            0.028364,           0.0089227,           0.0063447,             0.71864,             0.95597,             0.88991,             0.68356,            0.019827,           0.0041447,           0.0035436,            0.008614,            0.008614,            0.008614
                  72,            0.028782,           0.0091443,           0.0052351,             0.75224,             0.96329,              0.9112,             0.76381,            0.015658,           0.0043238,           0.0036143,           0.0085942,           0.0085942,           0.0085942
                  73,             0.03078,           0.0078648,           0.0056119,             0.74815,             0.94709,             0.89989,             0.69787,            0.019402,           0.0042983,           0.0033575,           0.0085744,           0.0085744,           0.0085744
                  74,            0.029509,           0.0084674,           0.0048731,             0.72916,             0.95707,             0.90998,             0.59958,            0.023899,           0.0041837,           0.0033104,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030852,           0.0086609,           0.0053586,             0.71766,             0.96891,             0.90502,             0.65861,            0.020353,           0.0042664,           0.0032949,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030153,            0.009102,           0.0049255,             0.72933,             0.95663,              0.9063,             0.73018,            0.017797,           0.0041429,           0.0034033,            0.008515,            0.008515,            0.008515
                  77,            0.027314,           0.0077981,           0.0056871,             0.76524,             0.94436,             0.89503,             0.69559,            0.021051,           0.0042529,           0.0034409,           0.0084952,           0.0084952,           0.0084952
                  78,            0.028731,           0.0088788,           0.0060283,              0.7411,             0.92911,             0.89154,             0.69742,            0.019465,           0.0042567,           0.0037508,           0.0084754,           0.0084754,           0.0084754
                  79,             0.02692,           0.0082436,           0.0054038,             0.70318,                0.95,             0.88138,             0.63707,            0.023664,           0.0043276,           0.0030895,           0.0084556,           0.0084556,           0.0084556
